table_year,scenario,throttle_scenario,recipient_sector,recipient_sector_name_ru,supplier_sector,supplier_sector_name_ru,direct_recipient_va_impulse_bn_rub,indirect_output_effect_bn_rub,indirect_va_effect_bn_rub,indirect_employment_effect_thousand
2019,Fast,SanctionBase,H,Транспорт и логистика,F,Строительство,104.31201327061352,4.797486198786118,2.0409698359675077,1.101134763985687
2019,Fast,SanctionBase,H,Транспорт и логистика,G,Оптовая и розничная торговля,104.31201327061352,15.696482878253908,8.942302027864589,4.585064905517112
2019,Fast,SanctionBase,H,Транспорт и логистика,H,Транспорт и логистика,104.31201327061352,59.52546670468597,26.382899732542672,11.507511649361863
2019,Fast,SanctionBase,H,Транспорт и логистика,J,ИТ и связь,104.31201327061352,4.857708710932319,2.4371736798654022,0.5431020528892627
2019,Fast,SanctionBase,H,Транспорт и логистика,K,Финансы и страхование,104.31201327061352,9.945326033357981,6.862340976543498,0.3437818938841715
2019,Fast,SanctionBase,H,Транспорт и логистика,M,Профессиональные и научные услуги,104.31201327061352,5.948802968493151,3.469363586150649,0.7494642013318266
2019,Fast,SanctionBase,J,ИТ и связь,B,Добыча полезных ископаемых,1312.0206850068062,48.19567953818162,33.976371538233906,1.860980234681247
2019,Fast,SanctionBase,J,ИТ и связь,C,Обрабатывающая промышленность,1312.0206850068062,241.43561753004434,66.79773796039872,18.23068348985512
2019,Fast,SanctionBase,J,ИТ и связь,C_mach,Машиностроение (ОКВЭД 26–30),1312.0206850068062,260.0008087047632,72.1278339503559,16.800332036716103
2019,Fast,SanctionBase,J,ИТ и связь,DE,Энергетика и ЖКХ,1312.0206850068062,96.75844906114418,29.410451282184553,11.646052450037452
2019,Fast,SanctionBase,J,ИТ и связь,F,Строительство,1312.0206850068062,15.843882622566692,6.740381353353431,3.63653989387843
2019,Fast,SanctionBase,J,ИТ и связь,G,Оптовая и розничная торговля,1312.0206850068062,93.81199954956168,53.44479016839451,27.403215751408567
2019,Fast,SanctionBase,J,ИТ и связь,H,Транспорт и логистика,1312.0206850068062,92.7953976652206,41.12881104131203,17.939281768884136
2019,Fast,SanctionBase,J,ИТ и связь,J,ИТ и связь,1312.0206850068062,874.5553788623916,438.77545521642804,97.77713113109913
2019,Fast,SanctionBase,J,ИТ и связь,K,Финансы и страхование,1312.0206850068062,83.14830633026446,57.37288327667905,2.8742026282096704
2019,Fast,SanctionBase,J,ИТ и связь,M,Профессиональные и научные услуги,1312.0206850068062,157.7106038504652,91.97739932664643,19.869283346980477
2019,Fast,SanctionBase,K,Финансы и страхование,B,Добыча полезных ископаемых,2339.7478604505704,17.36416673719815,12.241167386124301,0.6704827361970318
2019,Fast,SanctionBase,K,Финансы и страхование,C,Обрабатывающая промышленность,2339.7478604505704,85.3313051441117,23.608522301502983,6.443324443067978
