record_type,scenario,throttle_scenario,occupation_digit,occupation_name_isco08,quintile,ai_exposure_score,baseline_employment_thousand,employment_delta_2035_thousand,baseline_labour_income_bn_rub,labour_income_delta_2035_bn_rub,profit_gain_allocated_bn_rub,total_income_delta_bn_rub,gini_baseline_proxy,gini_post_proxy,gini_delta_proxy
occupation,Fast,BaseThrottle,7.0,Craft and related trades workers,,0.5598526735912037,7773.117146011304,-120.1660707630189,6061.847310147665,-696.1505290436222,0.0,-696.1505290436222,,,
occupation,Fast,BaseThrottle,8.0,"Plant and machine operators, assemblers",,0.49616419695167346,6701.619213011578,-59.34728810471084,5166.009013777703,-962.4556589039207,0.0,-962.4556589039207,,,
occupation,Fast,BaseThrottle,9.0,Elementary occupations,,0.3705807656935362,1996.1774895194403,-3.5276722635479483,994.3541501882039,-126.97137257498876,0.0,-126.97137257498876,,,
occupation,Fast,NoThrottle,1.0,Managers,,0.8163266095070527,1519.594612075267,-73.56605929114184,3178.0043321481617,-414.28271428998653,0.0,-414.28271428998653,,,
occupation,Fast,NoThrottle,2.0,Professionals,,0.8060153253325375,8696.048042062022,-558.3146296204354,18796.989848351026,-1861.8221952546062,0.0,-1861.8221952546062,,,
occupation,Fast,NoThrottle,3.0,Technicians and associate professionals,,0.7419290879474001,3975.5671102297792,-166.90100644929595,5648.68995965144,-832.6501343687737,0.0,-832.6501343687737,,,
occupation,Fast,NoThrottle,4.0,Clerical support workers,,0.7458447389249923,1341.067710344324,-55.127302208952656,1474.9121057441764,-255.62864275036657,0.0,-255.62864275036657,,,
occupation,Fast,NoThrottle,5.0,Services and sales workers,,0.6243578381469675,799.7117565961831,-20.604434629632657,636.6534585903457,-104.08374621210265,0.0,-104.08374621210265,,,
occupation,Fast,NoThrottle,6.0,Skilled agricultural workers,,0.5187886130307342,70.59692015010009,-1.3236757678171447,40.18139984251213,-5.749212859316401,0.0,-5.749212859316401,,,
occupation,Fast,NoThrottle,7.0,Craft and related trades workers,,0.5598526735912037,7773.117146011304,-135.27538695692328,6061.847310147665,-723.6990164108578,0.0,-723.6990164108578,,,
occupation,Fast,NoThrottle,8.0,"Plant and machine operators, assemblers",,0.49616419695167346,6701.619213011578,-65.88481013291502,5166.009013777703,-997.1525256058505,0.0,-997.1525256058505,,,
occupation,Fast,NoThrottle,9.0,Elementary occupations,,0.3705807656935362,1996.1774895194403,-3.9497630715100307,994.3541501882039,-132.224490656576,0.0,-132.224490656576,,,
occupation,Fast,SanctionBase,1.0,Managers,,0.8163266095070527,1519.594612075267,-58.75323537246905,3178.0043321481617,-376.1491355498037,0.0,-376.1491355498037,,,
occupation,Fast,SanctionBase,2.0,Professionals,,0.8060153253325375,8696.048042062022,-446.5649924395709,18796.989848351026,-1703.0779232480927,0.0,-1703.0779232480927,,,
occupation,Fast,SanctionBase,3.0,Technicians and associate professionals,,0.7419290879474001,3975.5671102297792,-133.48346131276097,5648.68995965144,-754.960068349942,0.0,-754.960068349942,,,
occupation,Fast,SanctionBase,4.0,Clerical support workers,,0.7458447389249923,1341.067710344324,-43.43947994727577,1474.9121057441764,-226.04774646672973,0.0,-226.04774646672973,,,
occupation,Fast,SanctionBase,5.0,Services and sales workers,,0.6243578381469675,799.7117565961831,-16.305117004094512,636.6534585903457,-94.203568461656,0.0,-94.203568461656,,,
occupation,Fast,SanctionBase,6.0,Skilled agricultural workers,,0.5187886130307342,70.59692015010009,-1.0264539472198344,40.18139984251213,-5.266219107150801,0.0,-5.266219107150801,,,
occupation,Fast,SanctionBase,7.0,Craft and related trades workers,,0.5598526735912037,7773.117146011304,-107.11167256064196,6061.847310147665,-669.0039022386997,0.0,-669.0039022386997,,,
occupation,Fast,SanctionBase,8.0,"Plant and machine operators, assemblers",,0.49616419695167346,6701.619213011578,-53.07999104362186,5166.009013777703,-920.7288653437868,0.0,-920.7288653437868,,,
occupation,Fast,SanctionBase,9.0,Elementary occupations,,0.3705807656935362,1996.1774895194403,-3.1482725396102516,994.3541501882039,-121.46883512240548,0.0,-121.46883512240548,,,
occupation,Fast,SanctionRelief,1.0,Managers,,0.8163266095070527,1519.594612075267,-60.46384404449493,3178.0043321481617,-380.7539366950019,0.0,-380.7539366950019,,,
occupation,Fast,SanctionRelief,2.0,Professionals,,0.8060153253325375,8696.048042062022,-459.66269473806386,18796.989848351026,-1722.6990313109168,0.0,-1722.6990313109168,,,
occupation,Fast,SanctionRelief,3.0,Technicians and associate professionals,,0.7419290879474001,3975.5671102297792,-137.35475877439032,5648.68995965144,-764.5837664725263,0.0,-764.5837664725263,,,
occupation,Fast,SanctionRelief,4.0,Clerical support workers,,0.7458447389249923,1341.067710344324,-44.80832966557763,1474.9121057441764,-229.7496258051019,0.0,-229.7496258051019,,,
occupation,Fast,SanctionRelief,5.0,Services and sales workers,,0.6243578381469675,799.7117565961831,-16.785602942657707,636.6534585903457,-95.35032425697901,0.0,-95.35032425697901,,,
occupation,Fast,SanctionRelief,6.0,Skilled agricultural workers,,0.5187886130307342,70.59692015010009,-1.0589922407228467,40.18139984251213,-5.318020310449701,0.0,-5.318020310449701,,,
occupation,Fast,SanctionRelief,7.0,Craft and related trades workers,,0.5598526735912037,7773.117146011304,-110.23567671237583,6061.847310147665,-675.047816799645,0.0,-675.047816799645,,,
occupation,Fast,SanctionRelief,8.0,"Plant and machine operators, assemblers",,0.49616419695167346,6701.619213011578,-54.4311188357875,5166.009013777703,-928.9537021357207,0.0,-928.9537021357207,,,
occupation,Fast,SanctionRelief,9.0,Elementary occupations,,0.3705807656935362,1996.1774895194403,-3.236980902222208,994.3541501882039,-122.65257942299982,0.0,-122.65257942299982,,,
occupation,Fast,StressThrottle,1.0,Managers,,0.8163266095070527,1519.594612075267,-60.22808706108704,3178.0043321481617,-385.0025790871621,0.0,-385.0025790871621,,,
occupation,Fast,StressThrottle,2.0,Professionals,,0.8060153253325375,8696.048042062022,-452.8787924182374,18796.989848351026,-1744.0416761201313,0.0,-1744.0416761201313,,,
occupation,Fast,StressThrottle,3.0,Technicians and associate professionals,,0.7419290879474001,3975.5671102297792,-137.06124508365156,5648.68995965144,-773.5477052008316,0.0,-773.5477052008316,,,
occupation,Fast,StressThrottle,4.0,Clerical support workers,,0.7458447389249923,1341.067710344324,-44.82840392900774,1474.9121057441764,-233.49314107104877,0.0,-233.49314107104877,,,
occupation,Fast,StressThrottle,5.0,Services and sales workers,,0.6243578381469675,799.7117565961831,-16.773352698845944,636.6534585903457,-96.54342747470479,0.0,-96.54342747470479,,,
occupation,Fast,StressThrottle,6.0,Skilled agricultural workers,,0.5187886130307342,70.59692015010009,-1.0532732997925487,40.18139984251213,-5.313543239164924,0.0,-5.313543239164924,,,
occupation,Fast,StressThrottle,7.0,Craft and related trades workers,,0.5598526735912037,7773.117146011304,-110.05528394932982,6061.847310147665,-678.0756629933646,0.0,-678.0756629933646,,,
occupation,Fast,StressThrottle,8.0,"Plant and machine operators, assemblers",,0.49616419695167346,6701.619213011578,-54.976888602228115,5166.009013777703,-939.4662201795352,0.0,-939.4662201795352,,,
occupation,Fast,StressThrottle,9.0,Elementary occupations,,0.3705807656935362,1996.1774895194403,-3.2453446293203267,994.3541501882039,-123.51514582579875,0.0,-123.51514582579875,,,
occupation,Friction,BaseThrottle,1.0,Managers,,0.8163266095070527,1519.594612075267,-32.553795853125166,3178.0043321481617,-310.3327911111942,0.0,-310.3327911111942,,,
occupation,Friction,BaseThrottle,2.0,Professionals,,0.8060153253325375,8696.048042062022,-298.62289813034295,18796.989848351026,-1504.1320105014452,0.0,-1504.1320105014452,,,
occupation,Friction,BaseThrottle,3.0,Technicians and associate professionals,,0.7419290879474001,3975.5671102297792,-75.59561723834335,5648.68995965144,-633.4791156856156,0.0,-633.4791156856156,,,
occupation,Friction,BaseThrottle,4.0,Clerical support workers,,0.7458447389249923,1341.067710344324,-25.905415885744954,1474.9121057441764,-184.8885876173763,0.0,-184.8885876173763,,,
