country_iso3,sector_id,sector_name_ru,rti_staffing_base,rti_base_year,rti_base_source,rti_n_occ_available,rti_weight_coverage,rti_sector_total_employment,rti_classified_employment,rti_total_source,is_proxy_mn,staffing_proxy_exact,rti_proxy_source,rti_year_priority,rti_year_distance,rti_base_year_exact
ITA,B,Добыча полезных ископаемых,0.49509847968571086,1995,BA:2238,7,0.9901096442157082,67.035,66.372,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
ITA,C,Обрабатывающая промышленность,0.5879050472241573,1995,BA:2238,8,1.0,4926.576,4926.576,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
ITA,DE,Энергетика и ЖКХ,0.4853751453593446,1995,BA:2238,8,1.0,199.196,199.196,sum_digits,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
ITA,F,Строительство,0.5513244211151807,1995,BA:2238,7,0.9992153513885339,1529.347,1528.147,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
ITA,H,Транспорт и логистика,0.6281434497775906,1995,BA:2238,8,0.9999990384384241,1039.975,1039.974,reported_total,False,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
ITA,J,ИТ и связь,0.1456533373513876,1995,BA:2238,8,0.9999989810609804,981.413,981.412,reported_total,False,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
ITA,K,Финансы и страхование,0.1596396500685649,1995,BA:2238,8,0.9999999999999999,666.522,666.522,sum_digits,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
ITA,M,Профессиональные и научные услуги,0.1456533373513876,1995,BA:2238,8,0.9999989810609804,981.413,981.412,reported_total,True,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
LUX,C,Обрабатывающая промышленность,0.44002982229726684,1995,BA:2261,8,0.9966343564889607,22.284,22.209,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
LUX,DE,Энергетика и ЖКХ,0.2569361302415459,1995,BA:2261,5,0.961895910780669,1.076,1.0350000000000001,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
LUX,F,Строительство,0.5219333795312773,1995,BA:2261,8,1.0,17.153,17.153,sum_digits,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
LUX,H,Транспорт и логистика,0.4590044844030809,1995,BA:2261,8,0.9998166483314999,10.908,10.905999999999999,reported_total,False,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
LUX,J,ИТ и связь,0.006502389306882739,1995,BA:2261,7,0.9939882169051341,8.317,8.267,reported_total,False,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
LUX,K,Финансы и страхование,-0.0823587790098746,1995,BA:2261,5,0.9877421905891656,15.174,14.988,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
LUX,M,Профессиональные и научные услуги,0.006502389306882739,1995,BA:2261,7,0.9939882169051341,8.317,8.267,reported_total,True,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
NLD,B,Добыча полезных ископаемых,-0.1325051890962572,1994,BA:2236,6,0.9637341153470186,10.23,9.859,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,2,1,False
NLD,C,Обрабатывающая промышленность,0.14708391766898643,1995,BA:2236,9,0.9501811661182386,1081.88,1027.982,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
NLD,DE,Энергетика и ЖКХ,-0.12458064229793708,1995,BA:2236,7,0.9764917132773318,48.451,47.312,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
NLD,F,Строительство,0.1331069024933709,1995,BA:2236,9,0.9768251699335473,394.566,385.42199999999997,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
NLD,H,Транспорт и логистика,0.24967774533817472,1995,BA:2236,8,0.9614944395851557,400.15,384.742,reported_total,False,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
NLD,J,ИТ и связь,-0.16641866212273887,1995,BA:2236,9,0.960947009439855,654.777,629.206,reported_total,False,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
NLD,K,Финансы и страхование,-0.19873104181439297,1995,BA:2236,8,0.9636379546982803,217.122,209.227,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
