scenario,year,sector_id,sector_name_ru,class_id,ai_intensity,rti_bucket,p,q,adaptation,diffusion_speed,delta_sL_potential,delta_sL_t,labour_share_t,pi0_proxy,gamma_margin,margin_t,capital_intensity_anchor,capital_intensity_norm,capital_barrier,delta_k_need_bn_rub,cumulative_delta_k_need_bn_rub,va_current_bn_rub,margin_cf_t,lambda_speed,gross_margin_premium_share,gross_margin_gain_bn_rub,net_margin_gain_cf_share,net_margin_gain_cf_bn_rub,gross_return_on_new_capital,net_return_on_new_capital_cf,cumulative_gross_margin_gain_bn_rub,cumulative_net_margin_gain_cf_bn_rub,cumulative_gross_return_on_capital,cumulative_net_return_on_capital_cf
Base,2029,M,Профессиональные и научные услуги,software,high,low,0.03,0.4,0.2818045319604582,0.0869161160289426,-0.0380169912243821,-0.0107133604185318,0.4927721567582404,0.4921061722260199,0.1230265430565049,0.5059816947970354,58.10665261591423,0.062821383771438,0.15,7.394081942635221,23.973526387531376,9027.867797603649,0.4722917427468633,0.04195378619264658,0.03466943738475152,312.99109732683434,0.033689952050172056,304.14843321655934,42.32994707863429,41.13403605426667,780.071770076209,760.908937536716,32.53888299394803,31.739549920051168
Base,2030,M,Профессиональные и научные услуги,software,high,low,0.03,0.4,0.3843066910924466,0.1025021591319883,-0.0380169912243821,-0.0146101841027328,0.4888753330740394,0.4921061722260199,0.1230265430565049,0.5181582480636999,58.10665261591423,0.062821383771438,0.15,8.720009574134416,32.69353596166579,9027.867797603649,0.47229174543026553,0.04195378619264658,0.047279923678587805,426.8369004510811,0.04586650263343439,414.0767221130853,48.94913208778795,47.48581049054505,1206.90867052729,1174.9856596498014,36.91581944340401,35.939387560510724
Base,2031,M,Профессиональные и научные услуги,software,high,low,0.03,0.4,0.4974235136692818,0.1131168225768351,-0.0380169912243821,-0.0189105453539664,0.4845749718228058,0.4921061722260199,0.1230265430565049,0.531563767194551,58.10665261591423,0.062821383771438,0.15,9.623014619580264,42.31655058124605,9027.867797603649,0.47229174531768664,0.04195378619264658,0.06119629532175185,552.4720638678864,0.05927202187686437,535.0999776010028,57.41153741404002,55.60627295652418,1759.3807343951764,1710.0856372508042,41.57665760155089,40.411744666369
Base,2032,M,Профессиональные и научные услуги,software,high,low,0.03,0.4,0.6124981529464785,0.1150746392771966,-0.0380169912243821,-0.0232853369055165,0.4802001802712557,0.4921061722260199,0.1230265430565049,0.5451585899748818,58.10665261591423,0.062821383771438,0.15,9.789568968445916,52.10611954969197,9027.867797603649,0.47229174532240975,0.04195378619264658,0.07535353038549966,680.2817104030005,0.07286684465247201,657.8322403510397,69.49046608647515,67.19726297157594,2439.6624447981767,2367.917877601844,46.82103495485875,45.4441416491135
Base,2033,M,Профессиональные и научные услуги,software,high,low,0.03,0.4,0.7190608745915364,0.1065627216450579,-0.0380169912243821,-0.0273365309591429,0.4761489862176293,0.4921061722260199,0.1230265430565049,0.5576982789493129,58.10665261591423,0.062821383771438,0.15,9.065447604807938,61.171567154499904,9027.867797603649,0.47229174532221163,0.04195378619264658,0.08846357364818373,798.6374477993767,0.08540653362710127,771.0388946370607,88.09685771895174,85.05249031808795,3238.2998925975535,3138.9567722389047,52.937991345205184,51.31398324831043
Base,2034,M,Профессиональные и научные услуги,software,high,low,0.03,0.4,0.8082939816430668,0.0892331070515303,-0.0380169912243821,-0.0307289052068453,0.4727566119699269,0.4921061722260199,0.1230265430565049,0.5681502322058981,58.10665261591423,0.062821383771438,0.15,7.59119177984492,68.76275893434483,9027.867797603649,0.4722917453222199,0.04195378619264658,0.09944161433492453,897.7457477959865,0.0958584868836782,865.3977468641702,118.26150278267986,114.0002481773487,4136.04564039354,4004.354519103075,60.149501045219345,58.23434924893664
Base,2035,M,Профессиональные и научные услуги,software,high,low,0.03,0.4,0.8760270905468406,0.0677331089037737,-0.0380169912243821,-0.0333039142136402,0.470181602963132,0.4921061722260199,0.1230265430565049,0.5760447034325769,58.10665261591423,0.062821383771438,0.15,5.762155286565806,74.52491422091063,9027.867797603649,0.47229174532221957,0.04195378619264658,0.1077745845738256,972.9747014741512,0.10375295811035729,936.6679894306149,168.8560361680283,162.55514522741382,5109.020341867691,4941.02250853369,68.55452831147537,66.3002777015919
Fast,2025,B,Добыча полезных ископаемых,hardware,low,high,0.0075,0.18,0.0075,0.0075,-0.0978230906786185,-0.0007336731800896,0.1022030820457712,0.8898910652809102,0.0711912852224728,0.8530907004325369,400.66629658784854,0.4331760658904722,0.4499999999999999,32.82854379938391,32.82854379938391,22455.017039232367,0.8525567657933684,0.041953786192646635,0.0005339346391685459,11.989511420366084,0.0005339346391685096,11.989511420365268,0.36521605995179995,0.3652160599517751,11.989511420366084,11.989511420365268,0.36521605995179995,0.3652160599517751
Fast,2026,B,Добыча полезных ископаемых,hardware,low,high,0.0075,0.18,0.016283625,0.008783625,-0.0978230906786185,-0.0015929145249516,0.1013438407009092,0.8898910652809102,0.0711912852224728,0.8552599326238592,400.66629658784854,0.4331760658904722,0.4499999999999999,38.44714907064848,71.27569287003239,22455.017039232367,0.854123081011721,0.041953786192646635,0.0011592521918307886,26.031027720327828,0.0011368516121382788,25.528022321643835,0.6770600252438631,0.6639769901985416,38.02053914069391,37.51753374200911,0.5334292464897176,0.5263720664269154
Fast,2027,B,Добыча полезных ископаемых,hardware,low,high,0.0075,0.18,0.0265448221527346,0.0102611971527346,-0.0978230906786185,-0.0025966965444947,0.1003400586813661,0.8898910652809102,0.0711912852224728,0.8558994329335267,400.66629658784854,0.4331760658904722,0.4499999999999999,44.914688021688555,116.19038089172092,22455.017039232367,0.8540573681579399,0.041953786192646635,0.0018897600050551432,42.43459311357309,0.0018420647755867936,41.3635959231712,0.9447820965177834,0.920936952811459,80.455132254267,78.8811296651803,0.6924422799615746,0.6788955252560062
