scenario,throttle_scenario,year,sector_id,sector_name_ru,class_id,ai_intensity,va_ai_bn_rub,va_share_ai,margin_ai,adaptation_managed,lp_gain_vs_cf_pct,delta_k_need_managed_bn_rub,cumulative_delta_k_need_managed_bn_rub,incremental_profit_pool_vs_cf_bn_rub,cumulative_net_value_after_capex_bn_rub,transition_risk_score,strategy_capacity_index,adaptive_potential,credit_potential,bank_profitability,financial_stability,strategic_convergence,base_forward_index_no_gate,financial_risk_penalty,forward_resilience_index,forward_rank
Base,BaseThrottle,2027,DE,Энергетика и ЖКХ,hybrid,low,4870.387329110032,0.0358607460814683,0.5354173323404944,0.0337927270171986,0.4742190545901525,23.335582463931196,57.58544425205107,20.37071336236113,-19.552842920327095,2.9583117885410326,46.202756362103194,0.03279482631173096,0.09197665299245815,0.07468482846104559,0.28531643696531467,0.2389705134399428,0.11016679523244159,0.9875265564305246,0.10879263592887978,9
Base,BaseThrottle,2028,DE,Энергетика и ЖКХ,hybrid,low,4873.066332191069,0.0346443403350194,0.5367693802162578,0.0505678498911434,0.7104617879106323,28.586118622128645,86.17156287417973,30.433979629117403,-17.704981913338344,5.344102044418647,46.30340709934686,0.041532093258337774,0.10153617694100536,0.09141540673781823,0.2724118060405633,0.3270705277170797,0.1293444513525949,0.9821023170641402,0.12702948537277342,9
Base,BaseThrottle,2029,DE,Энергетика и ЖКХ,hybrid,low,4877.163778875465,0.0334379521701539,0.5384116320230545,0.070975144898063,0.9986051423205522,34.775623416187706,120.94718629036744,42.69023682918805,-9.79036850033799,8.72161053065005,46.42585086938838,0.05028957712491816,0.11044422311921166,0.10745971265736926,0.248359336559576,0.3932955912335902,0.14373425621219743,0.9694828699643177,0.1393478992247877,9
Base,BaseThrottle,2030,DE,Энергетика и ЖКХ,hybrid,low,4882.907954898983,0.0322436835642483,0.5403919914965224,0.095589872883169,1.3472529752479367,41.94541758776415,162.89260387813158,57.49823773342496,5.7624516453228125,13.086538381238428,46.57353923729901,0.05927090875489919,0.11524293119285667,0.13916556341359962,0.187700069286359,0.40364410508000553,0.14881170587407588,0.924017930219787,0.1375046844542393,9
Base,BaseThrottle,2025,F,Строительство,hardware,low,9704.658435339385,0.0763989372046979,0.2367861494327779,0.0046980978063291,0.0422918207268363,1.107494934001756,1.107494934001756,1.3327648543327086,0.2252699203309527,0.0,36.27349048903165,0.055004757024713816,0.048907192072236004,0.010633681600984362,0.3136375823079465,0.06252262106279093,0.05968254589691257,0.9960411806070626,0.05944627347679599,10
Base,BaseThrottle,2026,F,Строительство,hardware,low,10077.610970773434,0.0767633037982448,0.2373233569611566,0.0100738962212213,0.0907061791861174,1.2672510782315092,2.374746012233265,2.9300093946517336,1.8880282367511771,1.0360821796779875,36.30036948110611,0.05515197496669694,0.04911264684618178,0.01084119210819102,0.3089243409289094,0.06093773463417083,0.05944893762632656,0.9949511591553218,0.05914878940186604,10
Base,BaseThrottle,2027,F,Строительство,hardware,low,10465.217158595273,0.0770555748140852,0.2374222257469202,0.0162165082656482,0.1460551311557312,1.4480140689230312,3.822760081156297,4.877606670380828,5.317620838208974,2.291712337823786,36.33108254132824,0.0677852746597396,0.04927674909176214,0.011229288890065348,0.3028115000185134,0.10404300833872267,0.06964736462452169,0.9933419997666985,0.06918365245460278,10
Base,BaseThrottle,2028,F,Строительство,hardware,low,10868.10748431154,0.0772651937850325,0.2375565789296323,0.0232240186616779,0.2092347590177956,1.651898828737106,5.474658909893403,7.23898580418745,10.904707813659318,3.8226993615511606,36.36612009330838,0.0986853703085464,0.05436951805535192,0.012964696993903154,0.2946459508895764,0.15633021007563502,0.08533442253778892,0.990849906969254,0.08455360463284316,10
Base,BaseThrottle,2029,F,Строительство,hardware,low,11286.947110529583,0.0773835808556681,0.2377086540299449,0.031203497032451,0.2812261742690447,1.881023391999732,7.355682301893135,10.088066033263658,19.111750454923243,5.782391739068214,36.40601748516226,0.12627659039867473,0.05911279924992574,0.015278610125416398,0.2827194154534799,0.2031163700339844,0.09843956307336962,0.9865117614671073,0.09711178676556227,10
Base,BaseThrottle,2030,F,Строительство,hardware,low,11722.438156961938,0.0774076820668578,0.2378814835097674,0.0402706680072784,0.3630936055916356,2.1374280260451295,9.493110327938265,13.509920457348016,30.48424288622613,8.158584496405284,36.4513533400364,0.15245364927800142,0.06511055944370661,0.019031621557760735,0.26500589389005696,0.24524081113224605,0.11127602198127227,0.9785611561313642,0.10889039271969289,10
