scenario,year,sector_id,sector_name_ru,class_id,ai_intensity,rti_bucket,p,q,adaptation,diffusion_speed,delta_sL_potential,delta_sL_t,labour_share_t,pi0_proxy,gamma_margin,margin_t,capital_intensity_anchor,capital_intensity_norm,capital_barrier,delta_k_need_bn_rub,cumulative_delta_k_need_bn_rub
Fast,2029,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.015,0.3,0.12733081603606602,0.038053015461192816,-0.0556642039037498,-0.007087768507062434,0.40876861230724254,0.5797787802499513,0.08696681703749269,0.5671908265686388,124.00654296875,0.13406834287121833,0.26249999999999996,28.38625947476884,94.98447204059049
Fast,2030,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.015,0.3,0.1737561575926217,0.04642534155655567,-0.0556642039037498,-0.009671998185767777,0.4061843826285372,0.5797787802499513,0.08696681703749269,0.5710939975481555,124.00654296875,0.13406834287121833,0.26249999999999996,34.6317309064013,129.6162029469918
Fast,2031,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.015,0.3,0.22921930181611327,0.055463144223491585,-0.0556642039037498,-0.012759309954967296,0.40309707085933766,0.5797787802499513,0.08696681703749269,0.5757536978634159,124.00654296875,0.13406834287121833,0.26249999999999996,41.37362529968623,170.98982824667803
Fast,2032,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.015,0.3,0.2937843563361856,0.06456505452007234,-0.0556642039037498,-0.016353272314829324,0.3995031084994757,0.5797787802499513,0.08696681703749269,0.5811732230761306,124.00654296875,0.13406834287121833,0.26249999999999996,48.16334181133303,219.15317005801106
Fast,2033,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.015,0.3,0.3666201234836384,0.07283576714745284,-0.0556642039037498,-0.02040761730881118,0.3954487635054938,0.5797787802499513,0.08696681703749269,0.5872801483093886,124.00654296875,0.13406834287121833,0.26249999999999996,54.33301304071293,273.486183098724
Fast,2034,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.015,0.3,0.4457837641935279,0.07916364070988947,-0.0556642039037498,-0.024814198347049655,0.3910421824672553,0.5797787802499513,0.08696681703749269,0.5939085495314967,124.00654296875,0.13406834287121833,0.26249999999999996,59.05339219305739,332.5395752917814
Fast,2035,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.015,0.3,0.528215187663118,0.0824314234695902,-0.0556642039037498,-0.02940267791113727,0.3864537029031677,0.5797787802499513,0.08696681703749269,0.6007992615268454,124.00654296875,0.13406834287121833,0.26249999999999996,61.491047348629486,394.03062264041085
Friction,2025,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.005,0.25,0.005,0.005,-0.0556642039037498,-0.000278321019518749,0.41557805979478624,0.5797787802499513,0.08696681703749269,0.555889699349499,124.00654296875,0.13406834287121833,0.35,4.973107322461332,4.973107322461332
Friction,2026,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.005,0.25,0.01121875,0.00621875,-0.0556642039037498,-0.000624482787545193,0.4152318980267598,0.5797787802499513,0.08696681703749269,0.5574327616353872,124.00654296875,0.13406834287121833,0.35,6.185302232311281,11.158409554772614
Friction,2027,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.005,0.25,0.018935878662109374,0.0077171286621093745,-0.0556642039037498,-0.0010540506109443211,0.41480233020336066,0.5797787802499513,0.08696681703749269,0.5580391584465756,124.00654296875,0.13406834287121833,0.35,7.67562181158247,18.834031366355084
Friction,2028,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.005,0.25,0.02848552705914964,0.009549648397040264,-0.0556642039037498,-0.001585624186526288,0.4142707566277787,0.5797787802499513,0.08696681703749269,0.5588442203293288,124.00654296875,0.13406834287121833,0.35,9.498285274050412,28.332316640405494
Friction,2029,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.005,0.25,0.04026162487568192,0.011776097816532277,-0.0556642039037498,-0.0022411312965762435,0.4136152495177287,0.5797787802499513,0.08696681703749269,0.559834574679454,124.00654296875,0.13406834287121833,0.35,11.712759656283513,40.045076296689004
Friction,2030,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.005,0.25,0.05472047336081645,0.014458848485134537,-0.0556642039037498,-0.003045971586866196,0.4128104092274388,0.5797787802499513,0.08696681703749269,0.5610504655955735,124.00654296875,0.13406834287121833,0.35,14.381081055156299,54.426157351845305
Friction,2031,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.005,0.25,0.07237840678300853,0.017657933422192077,-0.0556642039037498,-0.004028886393397934,0.41182749442090705,0.5797787802499513,0.08696681703749269,0.562535108633233,124.00654296875,0.13406834287121833,0.35,17.56295960028762,71.98911695213292
Friction,2032,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.005,0.25,0.09380145800273396,0.021423051219725424,-0.0556642039037498,-0.005221383484733206,0.41063499732957176,0.5797787802499513,0.08696681703749269,0.5643359168124693,124.00654296875,0.13406834287121833,0.35,21.307826578056133,93.29694353018905
Friction,2033,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.005,0.25,0.11958313683254411,0.025781678829810153,-0.0556642039037498,-0.006656500112096749,0.40919988070220825,0.5797787802499513,0.08696681703749269,0.5665025166368551,124.00654296875,0.13406834287121833,0.35,25.643011154775035,118.93995468496409
Friction,2034,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.005,0.25,0.15030597370283968,0.030722836870295568,-0.0556642039037498,-0.008366662368146524,0.40748971844615844,0.5797787802499513,0.08696681703749269,0.5690834869040295,124.00654296875,0.13406834287121833,0.35,30.557593001290375,149.49754768625448
Friction,2035,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.005,0.25,0.18648296582734572,0.036176992124506036,-0.0556642039037498,-0.010380425834389377,0.4054759549799156,0.5797787802499513,0.08696681703749269,0.5721214032843296,124.00654296875,0.13406834287121833,0.35,35.98241288780138,185.47996057405587
Base,2025,C_mach,Машиностроение (ОКВЭД 26–30),hybrid,medium,medium,0.01,0.25,0.01,0.01,-0.1045210553316377,-0.001045210553316377,0.4148111702609886,0.5797353085884872,0.08696029628827308,0.5562828203665205,124.00654296875,0.13406834287121833,0.45,3.402452131355557,3.402452131355557
Base,2026,C_mach,Машиностроение (ОКВЭД 26–30),hybrid,medium,medium,0.01,0.25,0.022375,0.012375,-0.1045210553316377,-0.0023386586130453935,0.4135177222012596,0.5797353085884872,0.08696029628827308,0.5583428747096378,124.00654296875,0.13406834287121833,0.45,4.210534512552502,7.612986643908059
Base,2027,C_mach,Машиностроение (ОКВЭД 26–30),hybrid,medium,medium,0.01,0.25,0.03761983984375,0.01524483984375,-0.1045210553316377,-0.003932065361875943,0.411924315452429,0.5797353085884872,0.08696029628827308,0.5595821434198612,124.00654296875,0.13406834287121833,0.45,5.1869837818541304,12.79997042576219
